,name,rating,reviews,type,hq,Average Salary,Latitude,Longitude
443,Honeywell Automa...,4.0,(1k Reviews),Public,"Morris Plains,New Jersey ",7000,40.826550000000054,-74.47984999999994
444,Northern Trust O...,4.2,(1k Reviews),Private,"Bangalore/Bengaluru,Karnataka ",9000,12.966180000000065,77.58690000000007
445,Jindal Stainless,4.2,(1.1k Reviews),Public,"Delhi/NCR,New Delhi ",6000,28.63095000000004,77.21721000000008
446,Aragen Life Scie...,4.4,(1k Reviews),Private,"Hyderabad/Secunderabad,Telangana ",3000,17.442620000000034,78.50195000000008
447,SAP,4.4,(1.2k Reviews),Private,"Walldorf,Baden-Württemberg ",10000,49.30263000000008,8.643000000000029
448,HERE Technologie...,4.0,(1k Reviews),Private,"Eindhoven,North Brabant ",5000,51.435970000000054,5.485330000000033
449,Dainik Bhaskar G...,4.1,(1k Reviews),Public,"Bhopal,Madhya Pradesh ",4000,23.26466000000005,77.40521000000007
450,Hindustan Constr...,4.2,(1k Reviews),Public,"Mumbai,Maharashtra ",3000,18.940170000000023,72.83489000000003
451,Laurus Labs,4.3,(1k Reviews),Public,"Hyderabad/Secunderabad,Telangana ",4000,17.442620000000034,78.50195000000008
452,Microland,3.8,(1k Reviews),Public,Bangalore ,8000,12.966180000000065,77.58690000000007
453,Barclays Shared ...,4.2,(1k Reviews),Private,London ,7000,51.507408360000056,-0.12769869299995662
454,Procter & Gamble,4.2,(1.5k Reviews),Public,"Cincinnati,Ohio ",4000,39.12711000000007,-84.51438999999993
455,DIVI'S Laborator...,3.7,(1k Reviews),Public,"Hyderabad/Secunderabad,Telangana ",4000,17.442620000000034,78.50195000000008
456,Reliance General...,3.9,(1k Reviews),Private,"Mumbai,Maharashtra ",6000,18.940170000000023,72.83489000000003
457,FedEx Express,4.3,(1.2k Reviews),Private,Moon Township ,3000,40.505250000000046,-80.20730999999995
458,Max Fashion,4.3,(1k Reviews),Private,Abu Dhabi ,3000,24.46918000000005,54.37173000000007
459,Mother Dairy Fru...,4.2,(1k Reviews),Private,"Noida,Uttar Pradesh ",3000,28.533420000000035,77.38190000000003
460,Videocon d2h,4.0,(1k Reviews),Public,Mumbai ,1000,18.940170000000023,72.83489000000003
461,Star Health & Al...,3.9,(1k Reviews),Private,"Chennai,Tamil Nadu ",6000,13.083750000000066,80.28256000000005
462,suzuki motor guj...,4.2,(1k Reviews),Becharaji + 58 more,,1000,18.776095735718457,100.77393496801147
463,Kotak Securities,3.8,(998 Reviews),Private,"Mumbai,Maharashtra ",7000,18.940170000000023,72.83489000000003
464,Citibank,4.1,(998 Reviews),Private,"New York,New York ",11000,40.71455000000003,-74.00713999999994
465,Johnson & Johnso...,4.2,(1.1k Reviews),Private,"New Brunswick,New Jersey ",4000,40.494770000000074,-74.44383999999997
466,Cavinkare,4.1,(995 Reviews),Private,"Chennai,Tamil Nadu ",4000,13.083750000000066,80.28256000000005
467,Coforge,3.8,(994 Reviews),Public,"Noida,Uttar Pradesh ",11000,28.533420000000035,77.38190000000003
468,Adecco Group,3.9,(1k Reviews),Private,"Zurich,Zurich ",4000,47.37707000000006,8.539560000000051
469,G R Infraproject...,4.2,(993 Reviews),Public,"Udaipur,Rajasthan ",4000,24.587000000000046,73.69848000000007
470,SRL Diagnostics,4.1,(996 Reviews),Private,Mumbai ,3000,18.940170000000023,72.83489000000003
471,Samsung India El...,4.1,(991 Reviews),Noida + 135 more,,1000,18.776095735718457,100.77393496801147
472,Verizon,4.3,(1k Reviews),Private,"New York City,New York ",8000,40.71455000000003,-74.00713999999994
473,Kent RO Systems,3.7,(988 Reviews),Private,"Noida,Uttar Pradesh ",4000,28.533420000000035,77.38190000000003
474,Aforeserve,3.5,(988 Reviews),Private,"Noida,Uttar Pradesh ",4000,28.533420000000035,77.38190000000003
475,USHA Internation...,4.3,(1k Reviews),Public,"Gurgaon/Gurugram,Haryana ",3000,28.477180000000033,77.06857000000008
476,Intellect Design...,4.1,(986 Reviews),Public,"Chennai,Tamil Nadu ",8000,13.083750000000066,80.28256000000005
477,Exl India,3.8,(985 Reviews),New Delhi + 18 more,65 years old,7000,9.49947000000003,76.34228000000007
478,Sony,4.3,(1.1k Reviews),Public,"Delhi/NCR,Delhi ",3000,28.63409000000007,77.21693000000005
479,Angel One,3.9,(984 Reviews),Mumbai + 102 more,5k-10k Employees (India),6000,29.672660000000064,75.56749000000008
480,CMA CGM,4.1,(1.2k Reviews),Private,"Marseille,Marseille ",6000,43.29337000000004,5.371310000000051
481,Care Health Insu...,3.9,(982 Reviews),Public,"Gurgaon,Haryana ",6000,28.477180000000033,77.06857000000008
482,Harman Connected...,3.9,(981 Reviews),Private,"Mountain View,California ",12000,37.389710000000036,-122.08156999999994
483,Inox Leisure,4.1,(979 Reviews),Public,"Mumbai,Maharashtra ",3000,18.940170000000023,72.83489000000003
484,KONE,4.3,(989 Reviews),Private,"Chennai,Tamil Nadu ",4000,13.083750000000066,80.28256000000005
485,Philips,4.1,(1.6k Reviews),Private,Amsterdam ,7000,52.36993000000007,4.907880000000034
486,Novartis,4.1,(1.3k Reviews),Hyderabad/Secunderabad + 52 more,,2000,18.776095735718457,100.77393496801147
487,Safexpress,4.2,(1.1k Reviews),Private,"Delhi/NCR,Delhi ",4000,28.63409000000007,77.21693000000005
488,Bank of Baroda,3.8,(1.4k Reviews),Private,"Vadodara/Baroda,Gujrat ",5000,22.299410000000023,73.20812000000006
489,Panasonic,4.1,(2.1k Reviews),Private,"Kadoma,Osaka ",5000,34.73954259000004,135.5868715800001
490,Xoriant,4.3,(974 Reviews),Private,"Sunnyvale,California ",7000,37.37187000000006,-122.03748999999999
491,Quest Global,3.7,(972 Reviews),Private,Singapore ,12000,1.2908800000000724,103.85239000000007
492,DHL Express,4.2,(2.1k Reviews),Private,Bonn ,4000,50.73242000000005,7.101860000000045
493,Vedantu,3.4,(971 Reviews),Private,"Bangalore,Karnataka ",7000,12.966180000000065,77.58690000000007
494,V-Guard Industri...,4.5,(1k Reviews),Public,"Kochi/Cochin,Kerala ",2000,9.936020000000042,76.26141000000007
495,Tata Elxsi,4.1,(967 Reviews),Public,"Bangalore/Bengaluru,Karnataka ",10000,12.966180000000065,77.58690000000007
496,Crisil,3.9,(976 Reviews),Public,"Mumbai,Maharashtra ",7000,18.940170000000023,72.83489000000003
497,Allsec Technolog...,3.9,(965 Reviews),Public,"Chennai,Tamil Nadu ",4000,13.083750000000066,80.28256000000005
498,Amazon Transport...,4.3,(963 Reviews),Private,"Seattle,Washington ",3000,47.60357000000005,-122.32944999999995
499,NCR Corporation,4.0,(964 Reviews),Private,"Atlanta,Georgia ",6000,33.74831000000006,-84.39110999999997
500,Jubilant Foods W...,3.8,(957 Reviews),Public,"Noida,Uttar Pradesh ",5000,28.533420000000035,77.38190000000003
501,Exotic Learning,4.6,(956 Reviews),Private,"Lucknow,Uttar Pradesh ",232000,26.85471000000007,80.92135000000007
502,Citicorp,3.8,(956 Reviews),Private,"Mumbai,Maharashtra ",12000,18.940170000000023,72.83489000000003
503,Innovsource Serv...,4.1,(954 Reviews),Private,"Mumbai,Maharashtra ",3000,18.940170000000023,72.83489000000003
504,Narayana Educati...,3.8,(952 Reviews),Private,"Hyderabad/Secunderabad,Telangana ",3000,17.442620000000034,78.50195000000008
505,YASH Technologie...,4.0,(951 Reviews),Private,"East Moline,Illinois ",11000,41.515360000000044,-90.43905999999998
506,Badve Engineerin...,3.9,(949 Reviews),Private,"Aurangabad,Maharashtra ",5000,19.870160000000055,75.34600000000006
507,HCL Technologies...,3.7,(949 Reviews),Private,Noida ,6000,28.533420000000035,77.38190000000003
508,DBS Bank,3.9,(949 Reviews),Private,"Hyderabad/Secunderabad,Telangana ",8000,17.442620000000034,78.50195000000008
509,FactSet,4.0,(947 Reviews),Private,"Norwalk,Connecticut ",6000,41.11366000000004,-73.40764999999993
510,Medanta the Medi...,4.2,(946 Reviews),Private,Gurgaon ,3000,28.477180000000033,77.06857000000008
511,TCE,3.7,(952 Reviews),Private,"Mumbai,Maharashtra ",5000,18.940170000000023,72.83489000000003
512,Marriott Interna...,4.2,(3.2k Reviews),Private,"Bethesda,Maryland ",4000,38.98637000000008,-77.09691999999995
513,Emami,4.1,(971 Reviews),Public,"Kolkata,West Bengal ",4000,22.57059000000004,88.37133000000006
514,Iksula,4.1,(942 Reviews),LLP,"Mumbai,Maharashtra ",2000,18.940170000000023,72.83489000000003
515,Ocwen Financial ...,4.2,(939 Reviews),Private,"West Palm Beach,Florida ",4000,26.71440000000007,-80.05328999999995
516,Biological E,4.3,(939 Reviews),Private,"Hyderabad/Secunderabad,Telangana ",4000,17.442620000000034,78.50195000000008
517,BT Global Servic...,4.2,(936 Reviews),Private,London ,5000,51.507408360000056,-0.12769869299995662
518,USV,4.1,(932 Reviews),Private,"Mumbai,Maharashtra ",3000,18.940170000000023,72.83489000000003
519,KFC,4.2,(931 Reviews),Private,"Louisville,Kentucky ",2000,38.254890000000046,-85.76665999999994
520,HDFC Securities,3.7,(931 Reviews),Public,"Mumbai,Maharashtra ",4000,18.940170000000023,72.83489000000003
521,Honeywell Techno...,3.9,(930 Reviews),Private,"Bangalore/Bengaluru,Karnataka ",10000,12.966180000000065,77.58690000000007
522,Medi Assist Indi...,3.8,(929 Reviews),Private,"Bangalore,Karnataka ",4000,12.966180000000065,77.58690000000007
523,Motherson Automo...,3.8,(3.7k Reviews),Private,Noida ,4000,28.533420000000035,77.38190000000003
524,Toyota Kirloskar...,4.3,(925 Reviews),Private,"Bangalore/Bengaluru,Karnataka ",2000,12.966180000000065,77.58690000000007
525,Tesco,4.1,(1k Reviews),Private,Hertfordshire ,6000,51.82974000000007,-0.21698999999995294
526,Orange Business ...,4.3,(923 Reviews),Private,Paris ,7000,48.85717000000005,2.3414000000000215
527,Hero FinCorp,4.3,(921 Reviews),Private,Delhi ,4000,28.63409000000007,77.21693000000005
528,ISS Facility Ser...,4.3,(921 Reviews),Private,Copenhagen ,3000,55.67567000000008,12.567560000000071
529,Varroc Group,3.8,(1.6k Reviews),Public,Aurangabad ,4000,19.870160000000055,75.34600000000006
530,Sitel,3.9,(1.1k Reviews),Private,"Miami,Florida ",3000,25.77481000000006,-80.19772999999998
531,iOPEX Technologi...,4.1,(946 Reviews),Private,"Chennai,Tamil Nadu ",2000,13.083750000000066,80.28256000000005
532,Hindustan Petrol...,4.3,(918 Reviews),Government,"Mumbai,Maharashtra ",4000,18.940170000000023,72.83489000000003
533,Fincare Small Fi...,4.0,(918 Reviews),Bangalore + 222 more,15 years old,5000,9.49947000000003,76.34228000000007
534,Torrent Power,3.9,(933 Reviews),Public,"Ahmedabad,Gujrat ",4000,23.02579000000003,72.58727000000005
535,NTPC,4.1,(1.5k Reviews),Private,"Delhi/NCR,Delhi ",2000,28.63409000000007,77.21693000000005
536,ISGEC,3.9,(916 Reviews),Public,"Noida,Uttar Pradesh ",5000,28.533420000000035,77.38190000000003
537,L.G.Balakrishnan...,3.8,(915 Reviews),Public,"Coimbatore,Tamil Nadu ",4000,10.994160000000022,76.96629000000007
538,Nayara Energy,4.2,(912 Reviews),Private,"Mumbai,Maharashtra ",4000,18.940170000000023,72.83489000000003
539,VLCC,4.1,(910 Reviews),Private,"Delhi/NCR,New Delhi ",3000,28.63095000000004,77.21721000000008
540,Punj Lloyd,4.3,(909 Reviews),Public,"Gurgaon/Gurugram,Haryana ",2000,28.477180000000033,77.06857000000008
541,Satin Creditcare...,4.2,(908 Reviews),Public,"Gurgaon/Gurugram,Haryana ",3000,28.477180000000033,77.06857000000008
542,Faurecia,4.0,(988 Reviews),Private,Nanterre ,4000,48.88822000000005,2.194280000000049
543,Motilal Oswal Fi...,3.6,(906 Reviews),Public,"Mumbai,Maharashtra ",7000,18.940170000000023,72.83489000000003
544,XL Dynamics,3.6,(906 Reviews),Private,Navi Mumbai ,2000,19.032750000000078,73.02960000000007
545,Fortis Healthcar...,4.1,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana ",5000,28.477180000000033,77.06857000000008
546,Mercedes-Benz Re...,4.0,(952 Reviews),Public,"Bengaluru/Bangalore,Karnataka ",9000,12.966180000000065,77.58690000000007
547,Relaxo Footwear,4.1,(901 Reviews),Public,"New Delhi,Delhi ",3000,28.63095000000004,77.21721000000008
548,Adani Power,4.1,(1.1k Reviews),Public,"Ahmedabad,Gujrat ",4000,23.02579000000003,72.58727000000005
549,First American C...,4.0,(1.3k Reviews),Private,"Santa Ana,California ",6000,33.74958000000004,-117.87445999999994
550,The Jaypee Group,4.1,(1.5k Reviews),Public,"Noida,Uttar Pradesh ",3000,28.533420000000035,77.38190000000003
551,Trident Group,3.8,(928 Reviews),Public,"Ludhiana,Punjab ",3000,30.907260000000065,75.84920000000005
552,Akzo Nobel India,4.1,(901 Reviews),Public,Amsterdam ,3000,52.36993000000007,4.907880000000034
553,Aditya Birla Cap...,4.0,(1.9k Reviews),Public,Mumbai ,6000,18.940170000000023,72.83489000000003
554,Mercer,3.9,(889 Reviews),Private,"New York,New York ",6000,40.71455000000003,-74.00713999999994
555,DHL Supply Chain,4.2,(889 Reviews),Private,Bonn ,3000,50.73242000000005,7.101860000000045
556,Edelweiss,3.9,(981 Reviews),Public,"Mumbai,Maharashtra ",7000,18.940170000000023,72.83489000000003
557,ZS,3.8,(884 Reviews),Private,"Evanston,Illinois ",9000,42.05702000000008,-87.68644999999998
558,NIIT,3.7,(884 Reviews),Public,Gurgaon/Gurugram ,4000,28.477180000000033,77.06857000000008
559,J. Kumar Infrapr...,4.1,(877 Reviews),Public,"Mumbai,Maharashtra ",3000,18.940170000000023,72.83489000000003
560,Trent,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra ",3000,18.940170000000023,72.83489000000003
561,L&T Energy Hydro...,3.9,(864 Reviews),Private,"Mumbai,Maharashtra ",5000,18.940170000000023,72.83489000000003
562,Straive,3.8,(863 Reviews),Private,Singapore ,5000,1.2908800000000724,103.85239000000007
563,Bayer,4.3,(1.2k Reviews),Public,"Monheim Am Rhein,North Rhine-westphalia ",2000,51.09143000000006,6.889160000000061
564,Security and Int...,4.2,(861 Reviews),Public,"Delhi/NCR,Delhi ",3000,28.63409000000007,77.21693000000005
565,Serco,4.3,(859 Reviews),Private,Hook ,1000,51.368203040000026,-0.3126174769999466
566,Bata,4.0,(859 Reviews),Public,Lausanne ,3000,46.519600000000025,6.632220000000075
567,Swaraj Tractors,4.4,(856 Reviews),"Mumbai,Maharashtra + 104 more",60 years old,3000,9.49947000000003,76.34228000000007
568,Fabindia,4.1,(856 Reviews),Private,"Delhi/NCR,Delhi ",3000,28.63409000000007,77.21693000000005
